zone_id,n,mae,rmse,avg_pickups,p95_pickups,borough,zone_name,service_zone,mae_perc_of_avg
17,66,0.6376504566236048,0.8046995825241167,1.5303030303030303,3.0,Brooklyn,Bedford,Boro Zone,0.41668247660552393
168,71,0.6282274960619534,0.7667351502373847,1.3943661971830985,3.0,Bronx,Mott Haven/Port Morris,Boro Zone,0.4505469921252393
54,14,0.6244254800815394,0.6687614830526354,1.0714285714285714,1.3499999999999996,Brooklyn,Columbia Street,Boro Zone,0.5827971147427702
86,50,0.6216219795926212,0.8721558197007829,1.4,3.0,Queens,Far Rockaway,Boro Zone,0.44401569970901517
49,67,0.6142651229899514,0.8261581435270784,1.507462686567164,3.0,Brooklyn,Clinton Hill,Boro Zone,0.40748280435967077
134,44,0.6124136375067857,0.7965571247676952,1.3636363636363635,3.0,Queens,Kew Gardens,Boro Zone,0.4491033341716429
26,31,0.6077497303647493,0.814839082378817,1.3548387096774193,3.0,Brooklyn,Borough Park,Boro Zone,0.4485771819358864
165,39,0.5970840747876035,0.7756889588057858,1.435897435897436,3.0,Brooklyn,Midwood,Boro Zone,0.41582640922708103
177,49,0.5956051444091016,0.6802166300146684,1.510204081632653,3.0,Brooklyn,Ocean Hill,Boro Zone,0.3943871902168376
218,44,0.5882349481484431,0.7179438599010962,1.3636363636363635,3.0,Queens,Springfield Gardens North,Boro Zone,0.43137229530885834
28,62,0.5879122773926423,0.7546626422882085,1.435483870967742,3.0,Queens,Briarwood/Jamaica Hills,Boro Zone,0.4095568673971216
101,5,0.5829455366064764,0.586622480202406,1.0,1.0,Queens,Glen Oaks,Boro Zone,0.5829455366064764
205,46,0.5774130660580049,0.695112594059235,1.5869565217391304,3.0,Queens,Saint Albans,Boro Zone,0.363849329296825
153,7,0.5703868376443034,0.6044579603173914,1.0,1.0,Manhattan,Marble Hill,Boro Zone,0.5703868376443034
82,66,0.5596894746190115,0.6428238368690885,1.378787878787879,2.0,Queens,Elmhurst,Boro Zone,0.40592862994345885
55,43,0.5533944842312257,0.668893858441079,1.3255813953488371,2.0,Brooklyn,Coney Island,Boro Zone,0.41747303196390717
